,State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed,Hospital Beds
2869,Virginia,King William,0,16329,3605,22.1,,
2870,Virginia,Lancaster,0,10848,4693,43.3,,2874.0
2871,Virginia,Lee,0,24428,6175,25.3,,3672.0
2872,Virginia,Loudoun,33,374558,46809,12.5,1418.0,462.0
2873,Virginia,Louisa,0,34813,9238,26.5,,
2874,Virginia,Lunenburg,0,12369,3504,28.3,,
2875,Virginia,Madison,0,13108,3779,28.8,,8477.0
2876,Virginia,Mathews,0,8830,3293,37.3,,
2877,Virginia,Mecklenburg,10,30959,9967,32.2,997.0,3048.0
2878,Virginia,Middlesex,0,10710,4271,39.9,,10144.0
2879,Virginia,Montgomery,22,97692,16371,16.8,744.0,15309.0
2880,Virginia,Nelson,0,14863,5121,34.5,,59.0
2881,Virginia,New Kent,0,20523,4832,23.5,,110.0
2882,Virginia,Northampton,0,11998,4032,33.6,,1504.0
2883,Virginia,Northumberland,0,12254,5416,44.2,,173.0
2884,Virginia,Nottoway,0,15537,3814,24.5,,123.0
2885,Virginia,Orange,0,35265,9382,26.6,,19132.0
2886,Virginia,Page,0,23694,6578,27.8,,135.0
2887,Virginia,Patrick,0,17958,5697,31.7,,25.0
2888,Virginia,Pittsylvania,0,61970,17512,28.3,,
2889,Virginia,Powhatan,0,28364,6652,23.5,,
2890,Virginia,Prince Edward,8,22903,5017,21.9,627.0,116.0
2891,Virginia,Prince George,0,37704,6858,18.2,,
2892,Virginia,Prince William,24,450763,60739,13.5,2531.0,1242.0
2893,Virginia,Pulaski,8,34330,9988,29.1,1249.0,9821.0
2894,Virginia,Rappahannock,0,7359,2467,33.5,,
2895,Virginia,Richmond,0,8873,2400,27.0,,7816.0
2896,Virginia,Roanoke,0,93419,25341,27.1,,110.0
2897,Virginia,Rockbridge,0,22440,7345,32.7,,
2898,Virginia,Rockingham,0,78653,18979,24.1,,1196.0
2899,Virginia,Russell,5,27725,7582,27.3,1516.0,267.0
2900,Virginia,Scott,0,22290,6831,30.6,,2713.0
2901,Virginia,Shenandoah,0,42854,11604,27.1,,25.0
2902,Virginia,Smyth,4,31298,8800,28.1,2200.0,377.0
2903,Virginia,Southampton,0,18089,4637,25.6,,
2904,Virginia,Spotsylvania,12,130159,23288,17.9,1941.0,100.0
2905,Virginia,Stafford,4,141159,19771,14.0,4943.0,125.0
2906,Virginia,Surry,0,6670,1840,27.6,,226.0
2907,Virginia,Sussex,0,11595,2584,22.3,,1621.0
2908,Virginia,Tazewell,12,42689,11682,27.4,974.0,381.0
2909,Virginia,Warren,8,38991,8490,21.8,1061.0,4727.0
2910,Virginia,Washington,14,54457,15381,28.2,1099.0,15195.0
2911,Virginia,Westmoreland,0,17596,5792,32.9,,3010.0
2912,Virginia,Wise,8,39539,9345,23.6,1168.0,244.0
2913,Virginia,Wythe,6,29048,8014,27.6,1336.0,108.0
2914,Virginia,York,0,67196,14070,20.9,,4729.0
2915,Virginia,Alexandria City,40,154710,23816,15.4,595.0,
2916,Virginia,Bristol City,0,17077,4481,26.2,,
2917,Virginia,Buena Vista City,0,6495,1486,22.9,,
2918,Virginia,Charlottesville City,25,46487,6753,14.5,270.0,
2919,Virginia,Chesapeake City,28,235410,41793,17.8,1493.0,
2920,Virginia,Colonial Heights City,0,17582,4585,26.1,,
2921,Virginia,Covington City,0,5675,1681,29.6,,
2922,Virginia,Danville City,34,41911,11358,27.1,334.0,
2923,Virginia,Emporia City,7,5495,1252,22.8,179.0,
2924,Virginia,Fairfax City,0,23580,4687,19.9,,
2925,Virginia,Falls Church City,0,13843,2660,19.2,,
2926,Virginia,Franklin City,8,8334,2300,27.6,288.0,90.0
2927,Virginia,Fredericksburg City,26,28135,4113,14.6,158.0,
2928,Virginia,Galax City,10,6788,2026,29.8,203.0,
2929,Virginia,Hampton City,24,136255,27165,19.9,1132.0,
